id,loc,growth,tl,sex,otoliths_R1,otoliths_R2,spines_R1,spines_R2
3536,Sturgeon Bay,fast,553,F,4,4,4,4
3454,Sturgeon Bay,fast,602,F,4,5,5,5
3578,Sturgeon Bay,mod,406,F,4,5,5,5
3437,Sturgeon Bay,fast,477,F,4,4,4,4
3575,Sturgeon Bay,fast,533,F,5,5,5,5
3535,Sturgeon Bay,fast,564,F,5,5,5,5
3460,Sturgeon Bay,fast,565,F,5,5,5,5
3515,Sturgeon Bay,fast,567,F,5,4,4,5
3441,Sturgeon Bay,fast,569,F,5,5,4,4
3530,Sturgeon Bay,fast,569,F,5,5,5,5
3549,Sturgeon Bay,fast,569,F,5,6,6,6
3547,Sturgeon Bay,fast,578,F,5,5,5,5
3456,Sturgeon Bay,fast,605,F,5,5,5,6
3478,Sturgeon Bay,fast,668,F,5,5,9,9
3541,Sturgeon Bay,fast,483,F,5,5,4,4
3560,Sturgeon Bay,fast,511,F,5,5,5,5
3550,Sturgeon Bay,fast,528,F,5,5,5,5
3523,Sturgeon Bay,fast,577,F,6,5,5,5
3512,Sturgeon Bay,fast,581,F,6,6,6,6
3528,Sturgeon Bay,fast,581,F,6,6,6,6
3503,Sturgeon Bay,fast,587,F,6,6,6,6
3555,Sturgeon Bay,fast,590,F,6,6,6,6
3511,Sturgeon Bay,fast,593,F,6,5,6,6
3425,Sturgeon Bay,fast,601,F,6,6,6,6
3442,Sturgeon Bay,fast,603,F,6,6,6,6
3451,Sturgeon Bay,fast,618,F,6,6,5,6
3418,Sturgeon Bay,fast,622,F,6,6,6,5
3439,Sturgeon Bay,fast,646,F,6,7,7,6
3420,Sturgeon Bay,fast,647,F,6,6,6,6
3531,Sturgeon Bay,fast,564,F,6,6,6,6
3423,Sturgeon Bay,fast,584,F,6,6,6,6
3436,Sturgeon Bay,fast,626,F,7,8,7,7
3470,Sturgeon Bay,fast,650,F,7,7,6,6
3479,Sturgeon Bay,mod,511,F,7,7,4,4
3538,Sturgeon Bay,mod,558,F,7,7,7,7
3431,Sturgeon Bay,fast,590,F,7,7,7,7
3554,Sturgeon Bay,fast,595,F,7,6,6,6
3410,Sturgeon Bay,fast,605,F,7,6,6,6
3444,Sturgeon Bay,fast,608,F,7,7,7,7
3519,Sturgeon Bay,mod,579,F,8,7,6,6
3524,Sturgeon Bay,fast,592,F,8,8,8,8
3432,Sturgeon Bay,fast,635,F,8,9,9,9
3443,Sturgeon Bay,fast,684,F,9,10,8,9
3498,Sturgeon Bay,fast,686,F,9,9,9,9
3455,Sturgeon Bay,mod,611,F,9,9,9,9
3453,Sturgeon Bay,fast,613,F,9,10,9,9
3406,Sturgeon Bay,fast,626,F,9,10,7,9
3446,Sturgeon Bay,fast,651,F,9,10,10,10
3494,Sturgeon Bay,mod,586,F,10,10,7,9
3449,Sturgeon Bay,mod,614,F,10,10,10,10
3424,Sturgeon Bay,mod,621,F,10,10,10,10
3491,Sturgeon Bay,mod,627,F,10,10,10,10
3448,Sturgeon Bay,mod,630,F,10,10,9,9
3466,Sturgeon Bay,mod,630,F,10,10,8,8
3465,Sturgeon Bay,mod,632,F,10,10,10,10
3497,Sturgeon Bay,mod,632,F,10,9,9,9
3457,Sturgeon Bay,fast,640,F,10,10,10,9
3502,Sturgeon Bay,fast,640,F,10,10,10,10
3440,Sturgeon Bay,fast,653,F,10,11,10,10
3429,Sturgeon Bay,fast,662,F,10,9,10,10
3471,Sturgeon Bay,fast,666,F,10,10,10,10
3407,Sturgeon Bay,fast,669,F,10,10,10,10
3508,Sturgeon Bay,fast,680,F,10,9,9,9
3409,Sturgeon Bay,fast,681,F,10,10,10,10
3412,Sturgeon Bay,fast,683,F,10,10,10,10
3450,Sturgeon Bay,fast,685,F,10,10,10,10
3505,Sturgeon Bay,fast,688,F,10,10,10,10
3510,Sturgeon Bay,fast,688,F,10,10,10,10
3417,Sturgeon Bay,fast,693,F,10,9,8,8
3428,Sturgeon Bay,fast,693,F,10,10,10,10
3415,Sturgeon Bay,fast,694,F,10,10,10,10
3474,Sturgeon Bay,fast,694,F,10,9,9,10
3496,Sturgeon Bay,fast,694,F,10,11,10,10
3427,Sturgeon Bay,fast,699,F,10,10,10,9
3426,Sturgeon Bay,fast,707,F,10,10,10,10
3421,Sturgeon Bay,fast,710,F,10,9,10,9
3411,Sturgeon Bay,fast,711,F,10,10,11,11
3462,Sturgeon Bay,fast,714,F,10,10,9,10
3522,Sturgeon Bay,fast,732,F,10,10,10,8
3476,Sturgeon Bay,fast,736,F,10,10,9,9
3561,Sturgeon Bay,fast,737,F,10,10,10,10
3583,Sturgeon Bay,fast,756,F,10,9,8,8
3529,Sturgeon Bay,fast,758,F,10,9,9,9
3445,Sturgeon Bay,fast,654,F,10,11,10,10
3501,Sturgeon Bay,mod,630,F,11,10,10,10
3475,Sturgeon Bay,fast,670,F,11,10,10,10
3402,Sturgeon Bay,fast,725,F,11,10,11,11
3458,Sturgeon Bay,mod,672,F,12,12,12,12
3422,Sturgeon Bay,fast,696,F,12,12,10,10
3405,Sturgeon Bay,mod,672,F,13,13,13,13
3468,Sturgeon Bay,mod,681,F,13,13,13,13
3469,Sturgeon Bay,fast,710,F,13,13,14,14
3463,Sturgeon Bay,fast,754,F,13,13,13,13
3504,Sturgeon Bay,fast,684,F,14,13,13,13
3493,Sturgeon Bay,mod,646,F,15,13,11,11
3430,Sturgeon Bay,fast,724,F,15,15,15,15
3557,Sturgeon Bay,fast,731,F,15,14,12,12
3584,Sturgeon Bay,fast,729,F,16,15,16,16
3521,Sturgeon Bay,fast,755,F,16,15,15,15
3404,Sturgeon Bay,fast,768,F,17,17,14,14
3438,Sturgeon Bay,fast,773,F,17,18,15,15
3401,Sturgeon Bay,mod,700,F,18,18,15,16
3408,Sturgeon Bay,fast,720,F,18,18,14,14
3495,Sturgeon Bay,fast,755,F,18,18,16,16
3556,Sturgeon Bay,fast,761,F,18,18,17,17
3572,Sturgeon Bay,fast,765,F,18,17,17,17
3492,Sturgeon Bay,fast,780,F,18,18,15,15
3500,Sturgeon Bay,fast,770,F,19,18,17,17
3461,Sturgeon Bay,fast,797,F,19,19,18,19
3447,Sturgeon Bay,mod,706,F,22,23,20,20
3403,Sturgeon Bay,mod,710,F,25,24,18,18
3542,Sturgeon Bay,fast,446,M,3,3,3,3
3574,Sturgeon Bay,fast,451,M,3,3,3,3
3534,Sturgeon Bay,fast,462,M,3,4,4,4
3533,Sturgeon Bay,fast,478,M,3,3,3,3
3416,Sturgeon Bay,fast,492,M,3,3,3,3
3532,Sturgeon Bay,fast,532,M,4,4,4,4
3419,Sturgeon Bay,fast,572,M,5,5,6,6
3580,Sturgeon Bay,fast,489,M,5,5,5,5
3517,Sturgeon Bay,fast,524,M,5,5,5,5
3540,Sturgeon Bay,fast,528,M,5,5,5,5
3509,Sturgeon Bay,fast,588,M,6,6,6,6
3576,Sturgeon Bay,mod,486,M,6,6,6,6
3568,Sturgeon Bay,mod,515,M,6,6,6,6
3571,Sturgeon Bay,fast,527,M,6,6,5,6
3562,Sturgeon Bay,fast,539,M,6,6,5,6
3513,Sturgeon Bay,fast,545,M,6,6,5,5
3579,Sturgeon Bay,fast,558,M,6,6,6,5
3577,Sturgeon Bay,fast,560,M,6,6,6,6
3520,Sturgeon Bay,fast,564,M,6,6,6,6
3464,Sturgeon Bay,fast,573,M,6,5,5,5
3525,Sturgeon Bay,fast,574,M,6,6,6,6
3564,Sturgeon Bay,fast,575,M,6,6,6,6
3537,Sturgeon Bay,slow,354,M,6,6,6,6
