id,year,river,tl,wt,sex,scales_R1,scales_R2,scales_R3,anal_R1,anal_R2,anal_R3,otolith_R1,otolith_R2,otolith_R3,cleithra_R1,cleithra_R2,cleithra_R3
86,2012,Pensaukee River,507,0.74,Male,3,3,3,3,4,4,3,5,3,3,3,3
87,2012,Suamico River,525,0.87,Female,4,4,4,5,5,5,3,3,3,4,4,4
88,2012,Suamico River,451,0.55,Male,3,5,3,3,3,2,4,4,3,4,4,2
89,2012,Suamico River,456,0.52,Male,3,4,4,3,3,2,3,4,3,3,3,2
90,2012,Kayes Creek,390,0.33,Male,3,3,3,3,3,2,2,2,2,3,3,2
91,2012,Kayes Creek,432,0.44,Female,3,3,3,3,3,2,3,4,2,3,3,3
92,2012,Kayes Creek,421,0.4,Female,4,4,2,3,4,2,3,4,3,3,4,2
93,2012,Kayes Creek,419,0.36,Male,3,3,3,3,4,3,3,4,3,3,3,3
94,2012,Suamico River,452,0.5,Male,3,6,3,3,3,3,2,3,2,4,4,3
95,2012,Suamico River,519,0.75,Male,3,5,3,3,3,3,3,3,2,5,5,3
96,2012,Duck Creek,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
97,2012,Heins Creek,NA,NA,Female,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
98,2012,Heins Creek,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
99,2012,Heins Creek,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
100,2012,Heins Creek,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA
