tl,wt,sex,mat,finrays_R1,finrays_R2,finrays_R3,finrays_CONSENSUS,gular_R1,gular_R2,gular_R3,gular_CONSENSUS
683,2654,F,M,6,6,7,6,NA,NA,NA,NA
684,2726,F,M,6,7,6,6,7,5,6,6
579,1767,M,M,4,4,5,4,NA,NA,NA,NA
581,1822,M,M,6,6,6,6,NA,NA,NA,NA
574,1786,M,M,4,4,4,4,NA,NA,NA,NA
610,1896,M,M,6,6,6,6,NA,NA,NA,NA
536,1384,M,M,6,7,7,7,NA,NA,NA,NA
685,2842,F,M,6,6,6,6,8,7,8,8
550,1326,M,M,8,8,8,8,NA,NA,NA,NA
669,2108,M,M,6,5,5,6,NA,NA,NA,NA
625,1874,M,M,3,3,3,3,NA,NA,NA,NA
686,3196,F,M,5,7,5,5,NA,NA,NA,NA
687,2700,F,M,6,6,6,6,7,6,6,6
589,1762,M,M,4,4,4,4,NA,NA,NA,NA
692,2820,F,M,6,6,6,6,NA,NA,NA,NA
581,1666,M,M,4,4,4,4,NA,NA,NA,NA
695,2578,F,M,9,9,9,9,NA,NA,NA,NA
697,3166,F,M,5,5,5,5,6,8,6,NA
700,2918,F,M,8,8,8,8,NA,NA,NA,NA
565,1700,M,M,4,4,5,4,NA,NA,NA,NA
702,3430,F,M,7,8,7,7,NA,NA,NA,NA
703,2580,F,M,5,5,5,5,8,8,8,8
592,1700,M,M,5,5,5,5,NA,NA,NA,NA
712,3370,F,M,8,8,5,8,NA,NA,NA,NA
728,3284,F,M,11,11,10,11,NA,NA,NA,NA
622,2110,F,I?,5,5,5,5,NA,NA,NA,NA
730,3582,F,M,6,5,6,6,NA,NA,NA,NA
549,1432,M,M,6,6,6,6,NA,NA,NA,NA
750,3922,F,M,8,7,7,7,NA,NA,NA,NA
751,4136,F,M,7,6,6,6,NA,NA,NA,NA
570,1830,M,M,5,5,5,5,NA,NA,NA,NA
757,3414,F,M,9,6,9,9,NA,NA,NA,NA
422,650,M,M,3,3,3,3,NA,NA,NA,NA
759,3806,F,M,5,5,5,5,NA,NA,NA,NA
572,1584,M,M,8,8,8,8,NA,NA,NA,NA
766,3932,F,M,11,12,11,11,NA,NA,NA,NA
779,4210,F,M,7,9,7,7,NA,NA,NA,NA
783,4505,F,M,6,7,7,7,NA,NA,NA,NA
796,4396,F,M,4,5,3,NA,5,5,5,5
625,2002,M,M,5,5,5,5,NA,NA,NA,NA
587,1676,M,M,4,3,4,4,NA,NA,NA,NA
807,4260,F,M,8,8,8,8,NA,NA,NA,NA
581,1830,M,M,6,6,6,6,NA,NA,NA,NA
551,1496,M,M,4,4,4,4,NA,NA,NA,NA
621,2102,M,M,5,6,5,5,NA,NA,NA,NA
516,1232,M,M,4,4,4,4,NA,NA,NA,NA
616,2012,M,M,6,7,6,6,NA,NA,NA,NA
569,1596,M,M,5,5,5,5,NA,NA,NA,NA
