age_Aaron,age_Tony,strux,year
2,2,spines,2008
2,2,spines,2008
3,3,spines,2008
2,2,spines,2008
2,2,spines,2008
5,7,spines,2008
2,3,spines,2008
3,3,spines,2008
3,3,spines,2008
5,5,spines,2008
2,3,spines,2008
2,2,spines,2008
2,3,spines,2008
6,7,spines,2008
2,3,spines,2008
3,3,spines,2008
4,4,spines,2008
3,6,spines,2008
2,2,spines,2008
3,3,spines,2008
2,3,spines,2008
2,3,spines,2008
2,2,spines,2008
3,3,spines,2008
2,3,spines,2008
10,10,spines,2008
9,11,spines,2008
6,6,spines,2008
6,5,spines,2008
8,8,spines,2008
5,6,spines,2008
7,7,spines,2008
6,6,spines,2008
6,6,spines,2008
8,8,spines,2008
5,6,spines,2008
5,5,spines,2008
7,8,spines,2008
11,11,spines,2008
6,6,spines,2008
10,12,spines,2008
7,8,spines,2008
10,9,spines,2008
5,5,spines,2008
5,6,spines,2008
5,6,spines,2008
5,5,spines,2008
4,4,spines,2008
7,8,spines,2008
5,5,spines,2008
5,5,spines,2008
6,7,spines,2008
10,10,spines,2008
8,8,spines,2008
7,8,spines,2008
8,10,spines,2008
9,9,spines,2008
6,7,spines,2008
4,5,spines,2008
10,10,spines,2008
7,7,spines,2008
5,5,spines,2008
3,2,spines,2008
4,3,spines,2008
3,2,spines,2008
4,3,spines,2008
4,4,spines,2008
1,2,spines,2008
1,2,spines,2008
4,3,spines,2008
2,2,spines,2008
2,1,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
2,2,spines,2008
5,4,spines,2008
3,3,spines,2008
4,3,spines,2008
3,3,spines,2008
4,3,spines,2008
4,2,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
1,1,spines,2008
3,3,spines,2008
5,5,spines,2008
3,3,spines,2008
5,5,spines,2008
8,8,spines,2008
4,3,spines,2008
4,4,spines,2008
4,4,spines,2008
2,2,spines,2008
3,2,spines,2008
6,6,spines,2008
1,1,spines,2008
6,6,spines,2008
6,5,spines,2008
5,5,spines,2008
3,3,spines,2008
3,4,spines,2008
2,3,spines,2008
7,7,spines,2008
3,2,spines,2008
2,3,spines,2008
1,1,spines,2008
3,2,spines,2008
3,3,spines,2008
2,2,spines,2008
2,2,spines,2008
2,2,spines,2008
3,2,spines,2008
1,2,spines,2008
2,2,spines,2008
1,1,spines,2008
1,2,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,2,spines,2008
1,2,spines,2008
1,1,spines,2008
