structure,read1,read2
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,3
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,4
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,5
Asteriscus,4,6
Asteriscus,4,6
Asteriscus,4,7
Asteriscus,5,3
Asteriscus,5,3
Asteriscus,5,3
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,4
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,5
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,6
Asteriscus,5,7
Asteriscus,5,9
Asteriscus,6,3
Asteriscus,6,4
Asteriscus,6,4
Asteriscus,6,4
Asteriscus,6,4
Asteriscus,6,4
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,5
Asteriscus,6,6
Asteriscus,6,6
Asteriscus,6,6
Asteriscus,6,6
Asteriscus,6,6
Asteriscus,6,6
Asteriscus,6,6
Asteriscus,6,7
Asteriscus,6,7
Asteriscus,6,7
Asteriscus,6,7
Asteriscus,6,7
Asteriscus,6,8
Asteriscus,7,4
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,5
Asteriscus,7,6
Asteriscus,7,6
Asteriscus,7,6
Asteriscus,7,6
Asteriscus,7,7
Asteriscus,7,7
Asteriscus,7,7
Asteriscus,7,7
Asteriscus,7,7
Asteriscus,7,8
Asteriscus,8,6
Asteriscus,8,6
Asteriscus,8,6
Asteriscus,8,6
Asteriscus,8,7
Asteriscus,8,7
Asteriscus,8,8
Asteriscus,8,8
Asteriscus,9,6
Asteriscus,9,8
Asteriscus,10,5
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,2
Lapillus,2,3
Lapillus,2,3
Lapillus,2,3
Lapillus,2,3
Lapillus,2,3
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,2
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,3
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,4
Lapillus,3,5
Lapillus,3,5
Lapillus,3,5
Lapillus,3,6
Lapillus,3,6
Lapillus,4,2
Lapillus,4,2
Lapillus,4,2
Lapillus,4,2
Lapillus,4,2
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,3
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,4
Lapillus,4,5
Lapillus,4,5
Lapillus,4,5
Lapillus,4,5
Lapillus,4,6
Lapillus,5,2
Lapillus,5,3
Lapillus,5,3
Lapillus,5,3
Lapillus,5,3
Lapillus,5,3
Lapillus,5,3
Lapillus,5,3
Lapillus,5,3
Lapillus,5,4
Lapillus,5,4
Lapillus,5,4
Lapillus,5,4
Lapillus,5,4
Lapillus,5,4
Lapillus,5,4
Lapillus,5,4
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,5
Lapillus,5,6
Lapillus,5,6
Lapillus,5,6
Lapillus,5,6
Lapillus,5,8
Lapillus,6,4
Lapillus,6,4
Lapillus,6,4
Lapillus,6,4
Lapillus,6,4
Lapillus,6,5
Lapillus,6,5
Lapillus,6,5
Lapillus,6,5
Lapillus,6,5
Lapillus,6,5
Lapillus,6,5
Lapillus,6,5
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,6
Lapillus,6,7
Lapillus,6,7
Lapillus,6,7
Lapillus,6,7
Lapillus,6,7
Lapillus,6,8
Lapillus,7,3
Lapillus,7,4
Lapillus,7,4
Lapillus,7,5
Lapillus,7,5
Lapillus,7,5
Lapillus,7,6
Lapillus,7,6
Lapillus,7,6
Lapillus,7,7
Lapillus,7,7
Lapillus,7,7
Lapillus,7,7
Lapillus,7,7
Lapillus,7,7
Lapillus,7,8
Lapillus,7,8
Lapillus,7,8
Lapillus,7,8
Lapillus,7,8
Lapillus,7,9
Lapillus,8,5
Lapillus,8,5
Lapillus,8,6
Lapillus,8,7
Lapillus,8,7
Lapillus,8,8
Lapillus,8,8
Lapillus,8,9
Lapillus,9,8
Lapillus,9,8
Lapillus,9,8
Lapillus,9,9
Lapillus,9,9
Lapillus,10,8
Lapillus,10,9
Lapillus,11,10
