id,year,day,fl,sex,scale_MG1,scale_MG2,scale_KH1,scale_KH2,otolith_MG1,otolith_MG2,otolith_KH1,otolith_KH2,finray_MG1,finray_MG2,finray_KH1,finray_KH2
1904,1992,288,447,M,6,6,7,6,5,5,5,5,5,5,5,5
4001,1992,NA,NA,NA,8,8,8,8,8,8,8,8,8,8,9,9
1905,1992,288,493,F,6,6,6,5,5,5,4,4,4,4,4,4
461,1993,209,583,F,8,8,7,7,8,8,8,8,9,9,9,8
860,1993,240,581,M,8,8,9,6,8,8,7,7,7,7,7,7
228,1993,202,495,NA,8,8,5,8,6,6,6,6,6,6,6,6
121,1993,199,580,F,7,6,5,6,6,6,6,5,6,6,6,6
1298,1992,277,935,F,12,12,14,13,25,24,24,25,19,18,21,18
1649,1992,282,895,F,14,14,12,18,18,19,19,19,18,19,19,19
2866,1992,319,557,F,5,5,10,7,7,8,7,7,6,6,6,6
1790,1992,284,405,M,5,6,4,4,3,3,3,3,3,3,3,3
164,1993,201,621,M,10,10,10,9,10,10,10,10,11,10,10,10
532,1993,212,725,M,14,9,13,11,14,15,15,14,15,15,15,15
1466,1993,291,1016,F,21,20,20,22,20,20,20,21,NA,NA,NA,NA
520,1993,211,1101,F,20,21,19,19,22,24,28,29,23,23,28,28
159,1993,200,932,F,16,15,17,18,19,19,20,20,17,17,21,21
1472,1992,278,628*,M,9,10,6,9,8,10,9,8,11,10,10,10
1270,1992,275,735,F,9,10,10,10,12,13,14,14,14,13,13,13
1801,1993,305,339,NA,4,4,4,4,3,3,3,3,3,3,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
