id,tl,sex,age_KNOWN,date,year,otolith_Dave1,otolith_Nate1,otolith_Dave2,otolith_Nate2,otolith_CONSENSUS,scale_Dave1,scale_Nate1,scale_Dave2,scale_Nate2,scale_CONSENSUS,finray_Dave1,finray_Nate1,finray_Dave2,finray_Nate2,finray_CONSENSUS
9034,1575,M,17,2008-01-01,2008,27,15,22,19,18,16,15,16,17,16,15,15,NA,NA,15
9087,1270,NA,17,2008-01-01,2008,24,20,18,18,18,9,7,6,7,7,15,12,13,9,13
9115,665,NA,1.18082191780822,2008-08-05,2008,1,1,NA,NA,1,0,1,0,1,1,4,NA,NA,NA,NA
9402,1516,M,11.9232876712329,2009-05-01,2009,13,12,12,12,12,12,9,11,11,11,11,11,NA,NA,11
9404,1512,M,11.9232876712329,2009-05-01,2009,13,12,12,12,12,10,9,10,11,10,11,11,NA,NA,11
9407,1768,M,18.9287671232877,2009-05-01,2009,20,19,18,19,19,10,15,10,14,14,15,15,NA,NA,15
9409,2210,F,20.9452054794521,2009-05-07,2009,21,21,NA,NA,21,14,13,15,17,16,21,18,21,17,19
11116,520,NA,1.20547945205479,2010-08-15,2010,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0
11117,616,NA,0.26027397260274,2010-09-04,2010,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
11118,626,NA,0.26027397260274,2010-09-04,2010,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
11119,651,NA,0.26027397260274,2010-09-04,2010,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
11120,584,NA,0.26027397260274,2010-09-04,2010,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
11121,668,NA,0.26027397260274,2010-09-04,2010,0,1,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0
11122,683,NA,0.26027397260274,2010-09-04,2010,0,1,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0
11123,717,NA,0.26027397260274,2010-09-04,2010,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0
11124,560,NA,0.26027397260274,2010-09-04,2010,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
11125,668,NA,0.26027397260274,2010-09-04,2010,0,1,0,0,0,1,0,1,0,0,0,0,NA,NA,0
11126,663,NA,0.26027397260274,2010-09-04,2010,0,1,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0
11127,662,NA,0.26027397260274,2010-09-04,2010,0,1,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0
11184,452,NA,0.293150684931507,2010-09-16,2010,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11201,366,NA,0.331506849315069,2010-09-30,2010,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11202,389,NA,0.331506849315069,2010-09-30,2010,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11204,385,NA,0.276712328767123,2010-09-10,2010,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11219,372,NA,0.254794520547945,2010-09-02,2010,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11222,337,NA,0.254794520547945,2010-09-02,2010,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11337,1350,M,7.00821917808219,2011-06-03,2011,7,7,NA,NA,7,5,8,5,5,5,6,6,NA,NA,6
11338,1060,M,6.00821917808219,2011-06-03,2011,5,6,6,6,6,4,4,NA,NA,4,5,4,5,6,6
11339,1750,F,10.0109589041096,2011-06-03,2011,5,11,10,10,10,6,11,9,8,8,8,11,9,9,9
11348,1163,F,4.01917808219178,2011-06-07,2011,4,4,NA,NA,4,4,3,4,3,4,4,3,5,4,4
11349,1034,M,4.01917808219178,2011-06-07,2011,4,4,NA,NA,4,5,4,5,5,5,2,0,2,2,2
