id,species,tl,scales_R1,scales_R2,scales_R3,wholeoto_R1,wholeoto_R2,wholeoto_R3,sectoto_R1,sectoto_R2,sectoto_R3
51399_3_11,SMB,389,4,4,4,3,3,3,4,3,3
51399_3_12,SMB,430,6,3,4,4,4,4,4,4,4
51399_3_13,SMB,173,0,0,0,1,1,0,1,0,0
51399_3_14,SMB,471,6,4,5,5,5,4,5,5,5
51399_3_2,SMB,257,1,1,0,2,2,2,2,1,1
51399_3_3,SMB,305,2,2,2,2,3,3,NA,2,2
51399_3_4,LMB,165,0,0,0,1,1,1,0,0,0
51399_3_5,SMB,232,1,1,0,2,2,3,2,1,1
51399_3_6,SMB,237,1,0,0,1,1,1,1,1,1
51399_3_7,SMB,250,1,1,1,2,2,1,2,1,1
51399_3_8,SMB,229,1,1,1,2,1,1,1,1,1
51399_3_9,SMB,239,0,1,0,2,1,2,2,1,2
51399_4_1,SPB,153,0,0,0,0,0,0,1,0,1
51399_4_2,SPB,232,1,1,1,2,2,1,2,1,1
51399_4_3,SMB,166,0,0,0,1,0,0,0,0,0
51399_4_4,SPB,215,1,1,0,1,1,1,2,1,2
51399_4_5,SPB,240,1,1,1,2,2,2,2,1,1
51399_4_6,SMB,377,3,3,3,3,3,3,2,2,2
51399_4_7,SPB,234,1,1,1,1,1,1,1,1,1
51399_5_1,SMB,307,3,2,2,2,3,2,3,2,3
51399_5_2,SMB,250,1,0,0,2,2,2,1,1,1
51399_5_3,SMB,197,1,0,0,2,1,2,2,1,1
51399_5_4,LMB,148,0,0,0,1,0,0,1,0,0
51399_5_5,SMB,224,2,1,1,2,2,2,2,2,2
