id,tl,sex,spines_Betsy_1,spines_Lee_1,spines_Alex_1,spines_Betsy_2,spines_Lee_2,spines_Alex_2,spines_CONSENSUS
103,49,unknown,0,0,0,0,0,0,0
107,103,female,0,0,1,0,0,1,0
108,127,female,1,1,2,1,1,2,2
109,138,female,1,0,0,0,0,0,0
110,106,female,1,0,1,0,0,0,0
111,86,male,1,0,0,1,0,1,0
112,102,unknown,1,0,1,0,0,0,0
114,99,unknown,0,0,2,0,0,1,0
115,99,unknown,1,0,2,0,0,1,0
116,88,male,0,0,1,0,0,0,0
117,125,female,1,0,1,1,1,1,1
118,122,male,0,0,1,0,0,0,0
119,124,male,2,0,4,0,0,2,0
123,89,unknown,1,0,0,0,0,0,0
125,129,female,1,1,2,1,1,2,1
132,116,male,0,0,1,0,0,1,0
133,113,female,1,0,2,0,0,0,0
134,76,male,0,0,0,0,0,0,0
135,56,unknown,0,0,0,0,0,0,0
136,90,male,0,1,1,0,1,2,1
139,85,male,0,0,1,0,0,0,0
140,112,male,0,0,2,0,0,0,0
141,85,female,0,0,1,0,0,0,0
142,85,male,0,0,1,0,0,1,0
143,94,male,1,0,1,0,0,0,0
144,114,male,2,0,1,1,0,2,3
145,46,unknown,0,0,0,0,0,0,0
146,92,male,1,1,3,1,1,1,1
147,99,female,0,0,0,0,0,0,0
148,110,male,1,1,1,1,1,2,1
150,97,male,1,0,2,0,0,1,0
151,87,female,0,0,0,0,0,0,0
152,90,male,1,1,2,1,1,1,1
153,108,female,0,0,0,0,0,0,0
154,70,unknown,0,0,1,0,0,0,0
157,84,female,0,0,1,0,0,1,0
159,109,female,0,0,1,0,0,1,0
160,102,male,2,0,3,0,0,0,0
161,85,male,0,0,1,0,0,0,0
162,139,male,1,1,1,1,1,1,1
163,114,female,1,0,0,0,0,1,0
166,89,female,0,0,1,0,0,1,0
167,52,unknown,0,0,0,0,0,0,0
168,79,unknown,0,0,0,0,0,1,1
170,108,female,1,1,1,1,1,1,1
171,87,female,1,0,1,0,0,1,1
172,76,unknown,0,0,0,0,0,0,0
174,100,male,1,0,1,0,0,0,0
175,65,unknown,0,0,0,0,0,0,0
176,51,unknown,0,0,0,0,0,0,0
177,55,unknown,0,0,0,0,0,0,0
179,60,unknown,0,0,0,0,0,0,0
180,69,unknown,0,0,0,0,0,0,0
182,58,unknown,0,0,0,0,0,0,0
183,54,unknown,0,0,0,0,0,0,0
185,51,unknown,0,0,0,0,0,0,0
186,58,unknown,0,0,0,0,0,0,0
187,53,unknown,0,0,0,0,0,0,0
188,61,unknown,0,0,0,0,0,0,0
189,60,unknown,0,0,0,0,0,0,0
190,62,unknown,0,0,0,0,0,0,0
191,62,unknown,0,0,0,0,0,0,0
192,61,unknown,0,0,0,0,0,0,0
193,148,male,2,2,3,2,2,3,3
194,170,female,1,2,2,2,3,3,2
196,56,unknown,0,0,0,0,0,0,0
197,171,female,3,3,3,3,3,3,3
198,59,unknown,0,0,0,0,0,0,0
201,54,unknown,0,0,0,0,0,0,0
203,46,unknown,0,0,0,0,0,0,0
204,170,male,3,3,4,3,3,3,3
205,193,female,5,3,7,4,4,7,4
209,172,female,3,3,4,3,3,4,3
211,173,male,3,3,3,3,3,3,3
212,176,female,3,3,3,2,2,3,3
213,171,male,3,3,3,3,3,4,3
214,170,male,4,3,3,2,3,3,3
215,171,female,4,3,3,3,4,3,4
216,172,female,4,3,4,3,4,4,3
217,174,male,2,3,2,2,3,3,2
218,171,female,3,3,4,3,3,4,3
219,177,male,2,3,3,2,3,3,3
222,61,unknown,0,0,0,0,0,0,0
223,49,unknown,0,0,0,0,0,0,0
225,49,unknown,0,0,0,0,0,0,0
226,49,unknown,0,0,0,0,0,0,0
227,53,unknown,0,0,0,0,0,0,0
228,58,unknown,0,0,0,0,0,0,0
229,58,unknown,0,0,0,0,0,0,0
230,51,unknown,0,0,0,0,0,0,0
231,60,unknown,0,0,0,0,0,0,0
232,44,unknown,0,0,0,0,0,0,0
234,61,unknown,0,0,0,0,0,1,0
235,98,female,0,0,1,0,0,0,0
236,74,unknown,0,0,0,0,0,0,0
