id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
1113,LMB,Kiser_2014,473,1351,12,8,10,11,11,11
1114,LMB,Kiser_2014,365,700,5,6,6,6,6,6
1115,LMB,Kiser_2014,305,388,3,2,4,5,5,5
1116,LMB,Kiser_2014,372,579,5,5,7,8,8,8
1117,LMB,Kiser_2014,490,1633,8,9,11,10,10,10
1118,LMB,Kiser_2014,395,754,NA,NA,NA,8,8,8
1119,LMB,Kiser_2014,360,583,6,5,5,8,8,8
1120,LMB,Kiser_2014,342,477,4,5,6,5,5,5
1121,LMB,Kiser_2014,150,45,1,1,1,1,1,1
1122,LMB,Kiser_2014,274,242,3,3,5,4,4,4
1123,LMB,Kiser_2014,353,415,5,5,8,8,8,8
1124,LMB,Kiser_2014,311,340,3,3,4,3,3,3
1125,LMB,Kiser_2014,262,210,2,2,2,2,2,2
1126,LMB,Kiser_2014,386,292,3,3,3,3,3,3
1127,LMB,Kiser_2014,269,274,4,3,3,3,3,3
1128,LMB,Kiser_2014,313,381,4,3,4,4,4,4
1129,LMB,Kiser_2014,283,297,4,3,3,3,3,3
1130,LMB,Kiser_2014,250,178,2,2,2,2,2,2
1131,LMB,Kiser_2014,128,20,1,1,1,1,1,1
1132,LMB,Kiser_2014,241,162,3,3,2,2,2,2
1133,LMB,Kiser_2014,203,86,3,2,3,2,2,2
1134,LMB,Kiser_2014,231,126,2,2,3,2,2,2
1135,LMB,Kiser_2014,372,727,8,7,6,7,7,7
1136,LMB,Kiser_2014,299,381,4,4,4,4,5,4
1137,LMB,Kiser_2014,222,132,3,3,3,2,2,2
1138,LMB,Kiser_2014,228,124,2,2,2,2,2,2
1139,LMB,Kiser_2014,223,115,2,2,2,2,2,2
1140,LMB,Kiser_2014,256,191,3,3,3,3,3,3
1141,LMB,Kiser_2014,383,845,10,6,6,8,8,8
1142,LMB,Kiser_2014,230,145,2,2,2,2,2,2
1143,LMB,Kiser_2014,353,597,8,6,5,4,4,4
1144,LMB,Kiser_2014,233,143,3,2,2,3,3,3
1145,LMB,Kiser_2014,268,241,3,2,2,2,2,2
1146,LMB,Kiser_2014,272,253,3,3,3,3,3,3
1147,LMB,Kiser_2014,250,182,2,2,2,2,2,2
1148,LMB,Kiser_2014,238,151,2,2,3,2,2,2
1149,LMB,Kiser_2014,289,654,9,6,8,8,8,8
1250,LMB,Kiser_2014,245,173,2,3,2,2,2,2
1251,LMB,Kiser_2014,240,142,2,2,2,2,2,2
1252,LMB,Kiser_2014,275,265,2,2,3,2,2,2
1253,LMB,Kiser_2014,524,2504,14,10,13,14,14,14
1254,LMB,Kiser_2014,136,28,1,1,1,1,1,1
