id,tl,sl,otolith_R1,otolith_R2,scales_R1,scales_R2
182731,31.5,24.2,4,4,3,4
182732,30.5,24.2,NA,NA,4,4
182733,28.5,22,NA,NA,3,3
182734,25.5,20.2,4,3,2,2
182735,29,22,4,4,3,3
182736,29,22.4,3,4,3,3
182737,31.5,24.1,4,4,3,4
182763,32,25.2,4,3,4,5
182787,28.5,23.2,5,4,NA,NA
182788,NA,20,NA,NA,2,2
182789,26,20,4,4,3,3
182790,NA,24,4,4,3,3
182791,25.5,19.5,5,4,2,2
182799,32,24.5,4,4,4,4
182802,28.5,22.2,4,4,4,4
182853,28.5,22.6,4,3,3,4
182854,32,26.1,4,4,3,3
182860,26.6,22,4,3,3,4
182861,26.4,20.8,3,3,3,3
182878,29.6,22.1,4,4,4,4
182879,30.2,24.6,4,3,4,4
182915,30.6,23.1,4,4,3,3
182916,27.6,21.6,4,3,4,4
182917,26.2,21.5,3,3,3,3
182918,NA,19,4,4,1,2
182919,NA,20.4,4,4,2,2
182976,NA,23.5,5,4,3,3
182977,27.5,22.1,5,4,3,4
182978,NA,22.3,4,4,4,3
182991,29.5,23.5,NA,NA,4,4
182992,28,21.5,4,4,3,4
183023,NA,23.5,4,4,4,4
183028,NA,22.5,4,4,3,3
183084,31.5,23.5,4,4,4,4
183188,27,20.1,NA,3,3,3
183190,31,24,NA,NA,4,4
183192,29,22.1,4,3,3,3
183193,31,24,4,4,4,4
183194,30,23.5,4,4,3,3
183195,33.7,26,4,4,3,3
183196,35,26.5,4,3,4,4
183197,35,26.7,4,4,5,4
183198,32.1,25.4,4,4,4,4
183199,31,23.6,NA,NA,4,3
183222,27,20.6,3,3,2,2
183223,17.6,13.2,1,1,1,1
183224,27.5,21,4,4,3,3
183241,25.6,20.5,4,3,2,2
183242,28,22.5,4,4,3,3
183243,25.6,21.4,4,4,3,3
183244,NA,20.1,4,3,2,3
183245,25.2,19.5,3,3,1,1
183246,30,23.5,4,3,3,3
183247,26.2,20.5,4,4,2,2
183285,29.2,23.5,NA,4,4,4
183287,34.6,28,4,4,NA,4
183439,18,14,1,1,1,1
183440,17.1,13.1,NA,NA,1,1
183441,17.5,13.2,1,1,1,1
183442,17.6,13.5,NA,NA,1,1
183443,24,19,3,3,3,2
183444,27,21,4,4,3,4
183463,17.5,11.1,NA,NA,1,1
183491,32.1,25.1,4,3,5,5
1,56.8,47,7,7,NA,NA
2,50.5,41.5,4,4,NA,NA
3,49,41.5,4,4,NA,NA
4,54,45,4,4,NA,NA
5,42.6,36,4,4,NA,NA
6,42.1,35.7,4,4,NA,NA
7,45.6,39,4,4,NA,NA
8,53.5,45.5,4,4,NA,NA
