id,tl,loc,scales_Steve,scales_Angie,scales_Reid,finrays_Steve,finrays_Angie,finrays_Reid,spines_Steve,spines_Angie,spines_Reid
2006_DT_112,121,Dewart,5,5,8,3,6,6,4,4,4
2006_DT_114,123,Dewart,6,5,9,5,4,4,4,4,4
2006_DT_124,130,Dewart,7,5,7,5,5,5,5,7,6
2006_DT_128,135,Dewart,6,5,6,3,2,4,5,6,5
2006_DT_129,136,Dewart,6,5,8,3,6,4,4,5,5
2006_DT_131,136,Dewart,9,5,9,5,7,5,4,5,6
2006_DT_133,139,Dewart,7,4,9,4,4,4,4,5,5
2006_DT_140,142,Dewart,7,4,8,3,7,6,4,5,5
2006_DT_143,146,Dewart,6,4,9,5,4,5,4,5,4
2006_DT_150,150,Dewart,9,6,9,5,5,5,6,6,6
2006_DT_155,157,Dewart,6,3,8,5,5,5,4,5,5
2006_DT_158,159,Dewart,6,4,10,8,9,7,6,8,6
2006_DT_162,165,Dewart,6,3,NA,5,8,5,5,5,5
2006_DT_165,167,Dewart,8,6,11,4,9,6,7,7,5
2006_DT_167,168,Dewart,4,3,7,5,7,6,9,8,7
2006_DT_172,176,Dewart,NA,1,NA,5,7,7,6,7,6
2006_DT_173,180,Dewart,5,4,9,8,7,8,9,8,8
2006_DT_177,187,Dewart,8,5,9,6,10,9,13,8,7
2006_DT_179,198,Dewart,8,7,9,9,11,11,9,10,5
2006_DT_180,205,Dewart,9,7,10,9,11,10,11,12,9
2006_FI_001,45,Fish,1,1,1,0,2,1,1,3,2
2006_FI_002,55,Fish,2,0,1,0,2,1,1,3,2
2006_FI_003,56,Fish,1,0,1,1,2,3,1,4,2
2006_FI_008,78,Fish,1,2,2,2,2,2,1,2,1
2006_FI_009,79,Fish,1,1,2,0,2,2,1,4,1
2006_FI_015,84,Fish,1,1,4,1,2,3,1,3,1
2006_FI_022,89,Fish,1,2,4,2,3,3,2,3,2
2006_FI_027,96,Fish,2,3,4,0,2,0,2,5,2
2006_FI_036,103,Fish,2,2,4,2,4,3,3,2,3
2006_FI_039,105,Fish,3,5,5,3,3,4,3,3,3
2006_FI_042,111,Fish,2,3,5,2,3,3,3,3,3
2006_FI_045,112,Fish,3,3,5,4,5,5,4,4,4
2006_FI_049,116,Fish,5,5,5,4,3,5,5,5,5
2006_FI_054,121,Fish,3,4,6,3,3,4,4,3,3
2006_FI_060,127,Fish,3,4,6,4,5,5,4,4,5
2006_FI_063,129,Fish,3,3,7,4,5,5,5,4,5
2006_FI_066,134,Fish,4,4,5,4,5,4,5,4,4
2006_FI_070,136,Fish,4,3,5,4,5,4,4,4,5
2006_FI_072,139,Fish,6,5,7,4,4,4,4,7,4
2006_FI_075,142,Fish,5,4,6,4,4,4,5,5,5
2006_FI_081,148,Fish,5,5,7,5,5,5,6,7,5
2006_FI_084,151,Fish,4,5,7,5,5,5,6,7,7
2006_FI_088,156,Fish,6,6,10,5,5,5,5,6,5
2006_FI_091,159,Fish,7,5,7,4,4,5,5,6,5
2006_FI_093,161,Fish,5,4,8,4,3,5,5,8,5
2006_FI_096,163,Fish,7,5,7,4,5,6,5,5,6
2006_FI_100,168,Fish,6,6,7,4,5,5,5,6,5
2006_FI_105,174,Fish,7,6,8,4,7,6,7,6,6
2006_FI_109,177,Fish,9,5,8,5,7,6,7,7,7
2006_FI_111,180,Fish,7,5,7,4,4,5,6,8,6
2006_FI_114,182,Fish,7,6,6,4,5,0,6,8,4
2006_FI_117,184,Fish,7,4,7,5,6,5,7,8,5
2006_FI_121,186,Fish,8,8,6,5,5,6,8,8,6
2006_FI_124,190,Fish,7,6,7,5,6,5,8,7,5
2006_FI_126,194,Fish,9,8,8,4,5,5,7,7,5
2006_FI_127,201,Fish,NA,6,6,9,11,10,11,12,11
2006_FI_128,208,Fish,10,6,8,5,8,7,10,10,10
2006_FI_129,224,Fish,10,8,9,6,8,7,10,13,12
2006_PA_001,37,Palestine,1,0,2,0,1,1,1,1,1
2006_PA_002,38,Palestine,0,0,1,0,1,1,1,1,1
2006_PA_003,38,Palestine,1,0,1,2,3,3,1,2,2
2006_PA_004,39,Palestine,1,0,2,0,1,2,1,1,2
2006_PA_006,44,Palestine,0,0,2,0,1,2,1,2,2
2006_PA_009,48,Palestine,2,1,2,0,3,2,2,2,2
2006_PA_010,49,Palestine,2,1,3,2,3,3,2,2,2
2006_PA_015,52,Palestine,2,1,3,0,2,2,2,3,2
2006_PA_016,54,Palestine,2,1,3,0,3,4,2,2,2
2006_PA_022,57,Palestine,2,1,3,0,2,2,2,2,2
2006_PA_027,61,Palestine,2,1,4,2,3,3,2,2,3
2006_PA_028,63,Palestine,2,2,4,1,3,3,2,2,3
2006_PA_030,65,Palestine,2,2,4,2,2,2,2,2,3
2006_PA_031,66,Palestine,2,2,5,2,3,3,2,2,2
2006_PA_043,77,Palestine,3,2,5,2,3,3,3,2,3
2006_PA_044,77,Palestine,2,2,6,1,2,2,3,3,3
2006_PA_049,82,Palestine,3,1,5,1,3,2,2,2,2
2006_PA_050,83,Palestine,2,1,5,2,4,4,2,2,2
2006_PA_051,83,Palestine,3,1,6,1,1,2,3,3,4
2006_PA_055,88,Palestine,4,1,7,2,2,2,3,3,4
2006_PA_057,88,Palestine,4,1,6,2,3,3,3,3,4
2006_PA_062,95,Palestine,4,1,5,3,3,3,2,2,3
2006_PA_064,97,Palestine,5,3,6,3,7,4,3,3,3
2006_PA_073,104,Palestine,5,3,6,3,4,4,3,2,4
2006_PA_075,105,Palestine,5,3,6,3,3,4,2,5,5
2006_PA_082,110,Palestine,5,3,6,2,4,4,4,4,5
2006_PA_084,111,Palestine,5,3,6,3,5,3,3,4,4
2006_PA_086,112,Palestine,NA,2,6,3,3,3,3,3,4
2006_PA_088,113,Palestine,6,3,7,3,4,3,3,3,4
2006_PA_094,116,Palestine,5,2,8,3,4,4,3,4,4
2006_PA_095,117,Palestine,5,1,6,3,4,4,3,4,4
2006_PA_105,122,Palestine,4,1,6,3,3,0,3,3,4
2006_PA_106,122,Palestine,5,1,7,3,3,4,3,4,6
2006_PA_107,122,Palestine,7,2,8,3,4,3,3,4,4
2006_PA_115,126,Palestine,6,3,8,3,2,3,3,3,3
2006_PA_117,129,Palestine,4,3,7,3,4,5,3,3,4
2006_PA_124,133,Palestine,7,6,9,3,3,3,5,5,5
2006_PA_125,134,Palestine,7,3,6,2,2,2,3,3,4
2006_PA_128,136,Palestine,4,4,6,4,5,4,4,4,5
2006_PA_132,138,Palestine,7,5,9,4,4,4,5,4,4
2006_PA_144,144,Palestine,6,2,9,4,4,3,5,5,5
2006_PA_149,147,Palestine,5,3,7,5,3,5,5,4,5
2006_PA_150,147,Palestine,6,4,8,7,5,6,4,5,5
2006_PA_157,149,Palestine,6,5,6,4,3,4,5,6,5
2006_PA_165,155,Palestine,5,4,7,4,4,4,5,5,5
2006_PA_167,155,Palestine,5,3,7,4,4,4,4,4,5
2006_PA_168,155,Palestine,7,3,7,4,3,4,6,5,5
2006_PA_173,157,Palestine,6,5,7,3,4,5,5,4,5
2006_PA_174,158,Palestine,7,5,7,5,6,6,4,4,6
2006_PA_175,159,Palestine,6,6,7,5,3,4,7,7,7
2006_PA_177,160,Palestine,8,6,10,4,5,6,6,8,7
2006_PA_180,162,Palestine,8,7,9,4,6,5,6,8,7
2006_PA_183,163,Palestine,7,5,10,3,5,5,7,8,8
2006_PA_192,167,Palestine,6,4,8,4,4,4,7,6,6
2006_PA_193,168,Palestine,7,5,8,4,5,6,7,8,7
2006_PA_196,169,Palestine,6,5,6,4,7,8,6,6,6
2006_PA_198,169,Palestine,6,5,6,4,6,5,8,6,9
2006_PA_206,173,Palestine,6,7,7,4,6,5,7,5,9
2006_PA_214,179,Palestine,8,5,8,5,8,6,8,7,9
2006_PA_218,181,Palestine,8,4,8,3,4,6,7,9,7
2006_PA_220,181,Palestine,8,4,7,5,5,6,6,6,6
2006_PA_221,181,Palestine,7,5,9,5,6,7,9,9,9
2006_PA_222,182,Palestine,6,4,8,4,5,6,7,6,7
2006_PA_226,NA,Palestine,7,4,6,4,6,5,NA,NA,NA
2006_PA_229,185,Palestine,6,5,9,6,7,6,8,8,7
2006_PA_234,189,Palestine,6,6,7,4,7,8,11,11,10
2006_PA_240,194,Palestine,8,8,10,3,2,0,8,6,8
2006_PA_242,195,Palestine,7,4,8,4,5,5,10,10,9
2006_PA_247,199,Palestine,8,8,7,3,7,6,10,11,11
2006_PA_248,199,Palestine,7,7,7,7,7,8,8,8,8
2006_PA_249,201,Palestine,8,10,8,4,4,5,11,9,7
2006_PA_251,NA,Palestine,NA,7,8,NA,NA,NA,NA,NA,NA
2006_PA_252,208,Palestine,8,7,7,5,4,6,10,8,7
2006_PA_253,215,Palestine,10,7,9,6,6,5,14,13,13
2006_PA_254,218,Palestine,9,8,8,4,8,7,10,8,8
2006_PL_001,55,Pleasant,0,0,1,1,1,1,1,1,1
2006_PL_002,66,Pleasant,2,2,4,1,2,3,2,3,2
2006_PL_007,72,Pleasant,3,2,4,2,3,3,2,3,2
2006_PL_009,73,Pleasant,1,2,2,1,1,2,2,3,2
2006_PL_010,74,Pleasant,3,2,3,1,1,2,2,6,3
2006_PL_012,76,Pleasant,2,2,3,1,2,2,2,3,2
2006_PL_015,78,Pleasant,2,3,3,3,4,4,2,3,3
2006_PL_017,79,Pleasant,2,1,3,2,3,3,2,3,3
2006_PL_023,84,Pleasant,2,2,3,2,2,3,2,2,3
2006_PL_024,85,Pleasant,2,2,3,1,2,3,2,3,3
2006_PL_031,97,Pleasant,2,2,4,2,2,3,2,3,3
2006_PL_034,101,Pleasant,3,2,4,2,2,2,2,4,5
2006_PL_040,106,Pleasant,2,3,5,2,2,2,3,3,3
2006_PL_042,108,Pleasant,2,3,4,2,2,2,3,3,3
2006_PL_045,111,Pleasant,2,3,3,2,2,2,3,3,3
2006_PL_050,115,Pleasant,2,4,4,2,2,2,4,4,4
2006_PL_057,121,Pleasant,2,3,4,3,3,3,4,4,5
2006_PL_061,124,Pleasant,2,4,4,2,2,3,4,4,4
2006_PL_066,129,Pleasant,3,3,5,2,2,2,4,4,4
2006_PL_068,131,Pleasant,4,3,5,3,2,3,3,6,4
2006_PL_074,137,Pleasant,4,4,5,4,4,3,5,5,5
2006_PL_078,141,Pleasant,4,4,5,3,4,4,5,4,5
2006_PL_081,143,Pleasant,4,2,5,4,4,5,4,5,5
2006_PL_085,147,Pleasant,5,6,5,4,2,5,5,8,5
2006_PL_088,150,Pleasant,5,5,6,4,4,5,7,7,7
2006_PL_089,151,Pleasant,5,6,5,5,4,5,8,7,6
2006_PL_093,154,Pleasant,6,6,7,6,6,6,8,5,6
2006_PL_098,159,Pleasant,6,5,5,6,6,5,7,6,6
2006_PL_100,161,Pleasant,5,2,5,6,6,5,8,5,5
2006_PL_102,164,Pleasant,5,3,5,6,4,4,7,7,7
2006_PL_110,174,Pleasant,5,5,5,6,4,5,6,5,6
2006_PL_116,198,Pleasant,7,5,6,10,9,7,9,7,6
2006_PL_117,207,Pleasant,8,6,6,7,5,4,9,9,8
2006_RD_001,53,Riddles,1,1,0,1,2,2,3,4,4
2006_RD_003,58,Riddles,1,1,1,1,1,1,2,2,2
2006_RD_008,62,Riddles,1,1,1,1,2,1,2,1,2
2006_RD_009,63,Riddles,1,1,2,1,2,1,2,2,2
2006_RD_011,68,Riddles,2,3,3,1,2,2,2,1,2
2006_RD_015,72,Riddles,1,1,2,2,2,2,2,1,2
2006_RD_016,74,Riddles,2,1,2,2,1,2,3,3,4
2006_RD_017,76,Riddles,3,2,3,1,2,2,3,2,3
2006_RD_022,83,Riddles,3,2,4,2,2,2,2,2,2
2006_RD_024,85,Riddles,3,2,4,2,2,2,1,2,2
2006_RD_030,88,Riddles,2,1,4,2,2,2,2,2,3
2006_RD_033,90,Riddles,3,2,4,2,2,2,2,2,2
2006_RD_047,100,Riddles,4,2,5,2,2,2,3,2,3
2006_RD_052,104,Riddles,3,2,4,1,1,1,3,4,4
2006_RD_053,105,Riddles,3,3,4,2,2,2,3,2,3
2006_RD_054,106,Riddles,4,2,4,2,2,2,4,4,3
2006_RD_057,109,Riddles,5,3,5,2,2,2,2,2,3
2006_RD_066,117,Riddles,3,2,4,2,2,2,2,2,3
2006_RD_072,123,Riddles,4,3,4,1,2,2,4,4,4
2006_RD_073,124,Riddles,4,4,5,3,3,3,4,4,4
2006_RD_081,130,Riddles,3,4,5,2,3,3,4,4,5
2006_RD_082,131,Riddles,4,3,5,3,4,2,5,4,4
2006_RD_089,136,Riddles,3,3,4,NA,NA,NA,4,3,4
2006_RD_094,140,Riddles,3,3,5,3,4,3,4,4,3
2006_RD_097,143,Riddles,5,4,7,3,5,4,4,5,3
2006_RD_099,145,Riddles,5,4,5,4,6,5,6,5,5
2006_RD_103,148,Riddles,4,3,5,2,2,5,5,5,5
2006_RD_109,151,Riddles,6,4,6,9,8,6,6,4,4
2006_RD_110,152,Riddles,4,3,5,3,4,4,6,5,6
2006_RD_114,155,Riddles,4,3,6,4,4,4,5,3,5
2006_RD_120,161,Riddles,6,6,7,4,3,4,7,6,7
2006_RD_121,161,Riddles,5,3,5,6,5,5,7,6,6
2006_RD_122,162,Riddles,7,NA,NA,8,6,5,9,10,8
2006_RD_126,165,Riddles,NA,2,NA,7,5,6,8,8,7
2006_RD_128,166,Riddles,NA,NA,NA,5,6,5,7,7,5
2006_RD_137,178,Riddles,6,5,7,6,6,6,9,8,7
2006_RD_139,181,Riddles,NA,3,NA,6,5,6,8,7,6
2006_RD_140,185,Riddles,NA,2,7,7,6,7,7,7,7
2006_RD_141,187,Riddles,6,4,6,6,5,5,7,8,7
2006_RD_142,192,Riddles,10,3,7,8,5,6,11,9,9
2006_RD_143,197,Riddles,7,4,6,7,4,5,9,10,8
2006_RD_144,217,Riddles,7,5,6,7,8,7,11,10,9
2006_WB_001,32,Webster,1,0,1,1,2,1,1,2,2
2006_WB_002,39,Webster,1,0,1,2,2,2,2,2,2
2006_WB_005,42,Webster,1,0,1,2,2,2,1,2,2
2006_WB_009,46,Webster,1,0,2,2,2,2,1,1,1
2006_WB_014,48,Webster,1,0,1,2,3,4,1,1,1
2006_WB_017,54,Webster,1,0,1,2,2,2,1,2,3
2006_WB_018,55,Webster,2,0,2,3,3,3,2,2,3
2006_WB_022,58,Webster,2,0,2,2,2,4,2,3,4
2006_WB_023,60,Webster,1,0,2,NA,NA,NA,NA,NA,NA
2006_WB_025,62,Webster,2,1,4,1,2,0,2,2,3
2006_WB_028,64,Webster,2,1,3,2,2,2,3,2,3
2006_WB_032,69,Webster,2,1,3,3,2,4,2,2,4
2006_WB_035,71,Webster,3,2,2,3,3,3,3,3,3
2006_WB_046,76,Webster,2,1,3,4,4,5,3,3,4
2006_WB_047,78,Webster,3,1,3,2,3,3,2,2,2
2006_WB_052,83,Webster,2,1,3,4,3,4,2,2,2
2006_WB_054,84,Webster,3,1,4,2,2,3,3,4,3
2006_WB_056,86,Webster,2,1,3,4,3,4,NA,NA,NA
2006_WB_058,89,Webster,3,2,3,2,3,5,2,2,2
2006_WB_063,93,Webster,3,3,4,5,4,4,2,3,3
2006_WB_069,98,Webster,3,3,4,5,5,5,3,4,5
2006_WB_070,98,Webster,3,2,5,4,3,4,3,3,3
2006_WB_072,99,Webster,4,4,7,4,4,4,3,3,3
2006_WB_073,100,Webster,3,2,6,2,2,3,3,5,4
2006_WB_078,104,Webster,4,5,6,4,5,5,3,3,3
2006_WB_081,107,Webster,5,4,7,3,4,4,3,4,3
2006_WB_088,113,Webster,9,3,6,5,5,5,4,4,4
2006_WB_090,113,Webster,4,3,6,5,5,5,3,3,3
2006_WB_092,114,Webster,4,5,6,6,7,7,7,5,7
2006_WB_097,NA,Webster,NA,NA,NA,4,3,4,4,5,5
2006_WB_101,116,Webster,4,2,5,6,4,6,4,5,4
2006_WB_102,120,Webster,7,4,5,6,6,8,4,5,5
2006_WB_106,121,Webster,4,3,5,5,5,6,5,6,6
2006_WB_107,125,Webster,6,4,6,4,4,5,4,5,5
2006_WB_109,126,Webster,6,4,5,5,6,6,7,7,7
2006_WB_115,127,Webster,6,3,6,4,4,4,5,5,5
2006_WB_119,132,Webster,5,4,5,5,6,6,5,4,5
2006_WB_132,136,Webster,6,4,7,5,7,6,8,4,5
2006_WB_133,182,Webster,7,6,6,7,6,6,8,7,7
2006_WB_134,185,Webster,8,5,7,7,6,7,9,7,8
2006_WB_135,185,Webster,8,4,6,NA,NA,NA,NA,NA,NA
2006_WB_136,193,Webster,7,6,7,9,7,8,8,8,9
2006_WB_137,195,Webster,7,6,7,9,7,6,7,8,6
2006_WB_138,203,Webster,10,7,8,9,7,6,8,8,7
2006_WB_139,209,Webster,9,8,7,8,12,11,12,11,12
2006_WB_140,211,Webster,9,6,7,10,11,10,11,10,9
2006_WB_152,159,Webster,7,4,6,8,6,7,8,6,7
2006_WB_154,161,Webster,8,5,5,6,7,8,9,8,7
2006_WB_163,171,Webster,8,6,7,5,5,6,7,7,7
2006_WB_167,176,Webster,9,5,8,7,7,7,6,6,7
2006_WB_175,179,Webster,10,4,7,9,9,9,7,5,6
2006_WB_184,194,Webster,10,5,7,6,6,6,7,7,7
2006_WB_185,195,Webster,10,4,7,6,7,7,6,6,6
2006_WB_186,195,Webster,11,6,7,6,6,6,8,8,8
2006_WB_190,203,Webster,8,5,8,7,9,9,11,12,10
